usage,product_name,delivery_code,month,pdb_ip_pub_date
1170.88,"The Manager's Path, 1Ed",SafBook,2017 / 10,2017-03-23
21.13,"XPath and XPointer, 1Ed",SafBook,2017 / 10,2002-07-31
516.92,Learning Path: Advanced CSS & Sass,SafVideo,2017 / 10,2015-11-23
2.06,"Learning Path: 2017 Design Conference Viewer???s Choice, 1Ed",SafVideo,2017 / 10,2017-05-26
1234.83,"Learning Path: A Beginner's Guide to Architecting Big Data Applications, 1Ed",SafVideo,2017 / 10,2016-12-13
0.1,"Learning Path: AWS EC2 Deployment Fundamentals, 1Ed",SafVideo,2017 / 10,2017-09-19
296.51,"Learning Path: AWS RedShift, 1Ed",SafVideo,2017 / 10,2017-04-19
1995.4,"Learning Path: Advanced Architecture for Big Data Applications, 1Ed",SafVideo,2017 / 10,2016-12-20
0.05,"Learning Path: Advanced Databases and REST Principles in Grails 3, 1Ed",SafVideo,2017 / 10,2017-05-29
7.05,"Learning Path: Advanced Features in Kotlin, 1Ed",SafVideo,2017 / 10,2017-06-13
163.6,"Learning Path: Amazon (AWS) for Data Storage Using S3, 1Ed",SafVideo,2017 / 10,2017-06-22
860.05,Learning Path: Android Basics,SafVideo,2017 / 10,2015-08-20
37.73,"Learning Path: Apache Beam for Stream Processing, 1Ed",SafVideo,2017 / 10,2017-07-27
117.03,Learning Path: Architect and Build Big Data Applications,SafVideo,2017 / 10,2015-08-25
1098.28,"Learning Path: Architect and Build Big Data Applications - Assessments, 1Ed",SafVideo,2017 / 10,2017-05-02
10.72,"Learning Path: Arduino Inputs and Outputs, 1Ed",SafVideo,2017 / 10,2017-05-19
7.98,"Learning Path: Arduino Prototyping Fundamentals, 1Ed",SafVideo,2017 / 10,2017-05-19
9.04,"Learning Path: Arduino Prototyping???Beyond the Basics, 1Ed",SafVideo,2017 / 10,2017-05-26
14.63,"Learning Path: Assessing Agile Architecture, 1Ed",SafVideo,2017 / 10,2017-04-27
39.71,"Learning Path: Basic Project Builds in Gradle, 1Ed",SafVideo,2017 / 10,2017-08-15
59.58,Learning Path: Become Fluent in Python,SafVideo,2017 / 10,2015-10-05
534.6,"Learning Path: Become Fluent in Python - Assessments, 1Ed",SafVideo,2017 / 10,2017-05-02
1663.12,"Learning Path: Beginning C++, 1Ed",SafVideo,2017 / 10,2016-04-19
833.47,"Learning Path: Beginning Java - Assessments, 1Ed",SafVideo,2017 / 10,2017-05-02
328.33,"Learning Path: Beginning Java, 2nd Edition",SafVideo,2017 / 10,2015-12-09
152.19,Learning Path: Beginning JavaScript,SafVideo,2017 / 10,2015-08-17
883.46,"Learning Path: Beginning JavaScript - Assessments, 1Ed",SafVideo,2017 / 10,2017-05-02
476.29,Learning Path: Beginning UX Design,SafVideo,2017 / 10,2015-08-17
17.12,Learning Path: Beginning UX Design Part 2,SafVideo,2017 / 10,2015-10-29
1440.53,"Learning Path: Being a Better Introvert, 1Ed",SafVideo,2017 / 10,2016-05-13
10.31,"Learning Path: Blend Web and Native Mobile Apps - Assessments, 1Ed",SafVideo,2017 / 10,2017-05-02
54.92,"Learning Path: Blend Web and Native Mobile Apps, 1Ed",SafVideo,2017 / 10,2016-03-03
